variant,transition,count
anchored,correct→correct,61
anchored,correct→wrong,7
anchored,wrong→correct,6
anchored,wrong→wrong,46
anchored_reason,correct→correct,58
anchored_reason,correct→wrong,17
anchored_reason,wrong→correct,14
anchored_reason,wrong→wrong,31
anchored_selfcheck,correct→correct,51
anchored_selfcheck,correct→wrong,21
anchored_selfcheck,wrong→correct,16
anchored_selfcheck,wrong→wrong,32
anchored_xml,correct→correct,46
anchored_xml,correct→wrong,20
anchored_xml,wrong→correct,17
anchored_xml,wrong→wrong,37
answer_first,correct→correct,23
answer_first,correct→wrong,33
answer_first,wrong→correct,5
answer_first,wrong→wrong,59
plain,correct→correct,36
plain,correct→wrong,18
plain,wrong→correct,15
plain,wrong→wrong,51
verbose,correct→correct,43
verbose,correct→wrong,31
verbose,wrong→correct,18
verbose,wrong→wrong,28
