source_label,target_label,count
plain,c2,62
plain,c3,33
plain,c1,18
plain,c4,4
plain,c0,3
c0,wrong→wrong,1
c0,correct→wrong,1
c0,correct→correct,1
c1,correct→correct,14
c1,wrong→wrong,2
c1,correct→wrong,1
c1,wrong→correct,1
c2,wrong→wrong,28
c2,correct→correct,19
c2,correct→wrong,9
c2,wrong→correct,6
c3,wrong→wrong,16
c3,wrong→correct,10
c3,correct→correct,4
c3,correct→wrong,3
c4,wrong→wrong,2
c4,correct→wrong,1
c4,correct→correct,1
wrong→wrong,incorrect,49
wrong→correct,incorrect,17
correct→wrong,correct,15
correct→correct,correct,39
