variant,transition,count
anchored,correct→correct,61
anchored,correct→wrong,7
anchored,wrong→correct,5
anchored,wrong→wrong,47
anchored_reason,correct→correct,55
anchored_reason,correct→wrong,20
anchored_reason,wrong→correct,10
anchored_reason,wrong→wrong,35
anchored_selfcheck,correct→correct,56
anchored_selfcheck,correct→wrong,16
anchored_selfcheck,wrong→correct,13
anchored_selfcheck,wrong→wrong,35
anchored_xml,correct→correct,51
anchored_xml,correct→wrong,15
anchored_xml,wrong→correct,13
anchored_xml,wrong→wrong,41
answer_first,correct→correct,18
answer_first,correct→wrong,38
answer_first,wrong→correct,4
answer_first,wrong→wrong,60
plain,correct→correct,39
plain,correct→wrong,15
plain,wrong→correct,17
plain,wrong→wrong,49
verbose,correct→correct,50
verbose,correct→wrong,24
verbose,wrong→correct,13
verbose,wrong→wrong,33
