layer,task_a,task_b,cosine,l2
0,gsm8k,mmlu,1.0000001192092896,0.0
0,gsm8k,strategyqa,1.0000001192092896,0.0
0,mmlu,strategyqa,1.0000001192092896,0.0
1,gsm8k,mmlu,0.9131528735160828,19.664844512939453
1,gsm8k,strategyqa,0.968222975730896,11.880964279174805
1,mmlu,strategyqa,0.9368226528167725,16.75444984436035
2,gsm8k,mmlu,0.8135348558425903,30.15589714050293
2,gsm8k,strategyqa,0.9004996418952942,22.17168426513672
2,mmlu,strategyqa,0.9115611910820007,19.6619815826416
3,gsm8k,mmlu,0.7863384485244751,36.56376266479492
3,gsm8k,strategyqa,0.8521959185600281,30.824949264526367
3,mmlu,strategyqa,0.8745535612106323,27.894458770751953
4,gsm8k,mmlu,0.6342111229896545,54.400848388671875
4,gsm8k,strategyqa,0.7117034792900085,48.893699645996094
4,mmlu,strategyqa,0.8352827429771423,34.89564514160156
5,gsm8k,mmlu,0.6221538186073303,56.69389343261719
5,gsm8k,strategyqa,0.694126546382904,51.820648193359375
5,mmlu,strategyqa,0.81395423412323,38.438079833984375
6,gsm8k,mmlu,0.565006673336029,62.325584411621094
6,gsm8k,strategyqa,0.6303523778915405,58.68051528930664
6,mmlu,strategyqa,0.7868253588676453,41.4804801940918
7,gsm8k,mmlu,0.5611143112182617,63.239315032958984
7,gsm8k,strategyqa,0.6174620985984802,60.281734466552734
7,mmlu,strategyqa,0.798108696937561,40.49005126953125
8,gsm8k,mmlu,0.551864743232727,65.8940200805664
8,gsm8k,strategyqa,0.5805206894874573,64.85087585449219
8,mmlu,strategyqa,0.7758604884147644,44.03480911254883
9,gsm8k,mmlu,0.5212839841842651,70.10444641113281
9,gsm8k,strategyqa,0.559592068195343,67.30192565917969
9,mmlu,strategyqa,0.8094323873519897,42.061058044433594
10,gsm8k,mmlu,0.5376553535461426,68.2685775756836
10,gsm8k,strategyqa,0.5983511209487915,63.9730110168457
10,mmlu,strategyqa,0.8106990456581116,42.32255172729492
11,gsm8k,mmlu,0.5122975707054138,69.31741333007812
11,gsm8k,strategyqa,0.5744024515151978,64.53262329101562
11,mmlu,strategyqa,0.7993345260620117,43.67877197265625
12,gsm8k,mmlu,0.4793781340122223,74.37901306152344
12,gsm8k,strategyqa,0.538565993309021,69.59577178955078
12,mmlu,strategyqa,0.7962051630020142,45.560787200927734
13,gsm8k,mmlu,0.44182100892066956,78.44007873535156
13,gsm8k,strategyqa,0.4937320649623871,73.89273071289062
13,mmlu,strategyqa,0.7979221940040588,45.28368377685547
14,gsm8k,mmlu,0.4424530565738678,73.77985382080078
14,gsm8k,strategyqa,0.48904314637184143,70.12548065185547
14,mmlu,strategyqa,0.8188748359680176,40.566810607910156
15,gsm8k,mmlu,0.44923868775367737,71.50777435302734
15,gsm8k,strategyqa,0.4648147523403168,70.7254638671875
15,mmlu,strategyqa,0.8269438147544861,38.9123420715332
16,gsm8k,mmlu,0.4171190857887268,75.0619125366211
