sample_id,task,layer,position,clean_mean_logprob,corrupt_mean_logprob,patched_mean_logprob,recovery_mean
0,gsm8k,0,0,-2.0619683265686035,-2.010847806930542,-1.9150499105453491,-1.8739620763457143
0,gsm8k,0,1,-2.0619683265686035,-2.010847806930542,-1.8193495273590088,-3.7460166365194865
0,gsm8k,0,2,-2.0619683265686035,-2.010847806930542,-1.907914638519287,-2.0135395585848483
0,gsm8k,0,3,-2.0619683265686035,-2.010847806930542,-1.9698930978775024,-0.801140468727779
0,gsm8k,0,4,-2.0619683265686035,-2.010847806930542,-1.9743139743804932,-0.7146609611037161
0,gsm8k,0,5,-2.0619683265686035,-2.010847806930542,-2.003169059753418,-0.15020873679645108
0,gsm8k,8,0,-2.0619683265686035,-2.010847806930542,-2.0223007202148438,0.2240375412019474
0,gsm8k,8,1,-2.0619683265686035,-2.010847806930542,-2.0686228275299072,1.1301730168266775
0,gsm8k,8,2,-2.0619683265686035,-2.010847806930542,-2.0207042694091797,0.19280837668525735
0,gsm8k,8,3,-2.0619683265686035,-2.010847806930542,-2.003631114959717,-0.1411701882849001
0,gsm8k,8,4,-2.0619683265686035,-2.010847806930542,-2.016742706298828,0.11531378325495242
0,gsm8k,8,5,-2.0619683265686035,-2.010847806930542,-1.991300106048584,-0.3823847027417713
0,gsm8k,16,0,-2.0619683265686035,-2.010847806930542,-2.009683609008789,-0.02277359772028039
0,gsm8k,16,1,-2.0619683265686035,-2.010847806930542,-2.0469119548797607,0.7054731692730889
0,gsm8k,16,2,-2.0619683265686035,-2.010847806930542,-2.076960802078247,1.2932773091620544
0,gsm8k,16,3,-2.0619683265686035,-2.010847806930542,-2.0030999183654785,-0.15156125437557894
0,gsm8k,16,4,-2.0619683265686035,-2.010847806930542,-2.0141794681549072,0.06517269189907807
0,gsm8k,16,5,-2.0619683265686035,-2.010847806930542,-2.019742965698242,0.17400371848165905
0,gsm8k,23,0,-2.0619683265686035,-2.010847806930542,-2.018972158432007,0.15892547940124405
0,gsm8k,23,1,-2.0619683265686035,-2.010847806930542,-2.038818120956421,0.5471446631481496
0,gsm8k,23,2,-2.0619683265686035,-2.010847806930542,-2.067593574523926,1.110039160312557
0,gsm8k,23,3,-2.0619683265686035,-2.010847806930542,-1.9897682666778564,-0.41234996290003495
0,gsm8k,23,4,-2.0619683265686035,-2.010847806930542,-2.0121219158172607,0.024923634285721568
0,gsm8k,23,5,-2.0619683265686035,-2.010847806930542,-2.02067494392395,0.1922347226775583
0,gsm8k,31,0,-2.0619683265686035,-2.010847806930542,-2.010847806930542,-0.0
0,gsm8k,31,1,-2.0619683265686035,-2.010847806930542,-2.010847806930542,-0.0
0,gsm8k,31,2,-2.0619683265686035,-2.010847806930542,-2.010847806930542,-0.0
0,gsm8k,31,3,-2.0619683265686035,-2.010847806930542,-2.010847806930542,-0.0
0,gsm8k,31,4,-2.0619683265686035,-2.010847806930542,-2.010847806930542,-0.0
0,gsm8k,31,5,-2.0619683265686035,-2.010847806930542,-2.010847806930542,-0.0
1,gsm8k,0,0,-2.2344467639923096,-2.2005817890167236,-2.1924779415130615,-0.23929885973614226
1,gsm8k,0,1,-2.2344467639923096,-2.2005817890167236,-2.1135687828063965,-2.569410784067159
1,gsm8k,0,2,-2.2344467639923096,-2.2005817890167236,-2.222508430480957,0.6474727341380935
1,gsm8k,0,3,-2.2344467639923096,-2.2005817890167236,-2.2215394973754883,0.6188610670016509
1,gsm8k,0,4,-2.2344467639923096,-2.2005817890167236,-2.24981951713562,1.4539429807292918
1,gsm8k,0,5,-2.2344467639923096,-2.2005817890167236,-2.2359538078308105,1.0445018572907856
1,gsm8k,8,0,-2.2344467639923096,-2.2005817890167236,-2.2000536918640137,-0.015594203422052224
1,gsm8k,8,1,-2.2344467639923096,-2.2005817890167236,-2.211617946624756,0.3258871702949776
1,gsm8k,8,2,-2.2344467639923096,-2.2005817890167236,-2.20369291305542,0.09186851487781467
1,gsm8k,8,3,-2.2344467639923096,-2.2005817890167236,-2.228724956512451,0.8310407973555154
1,gsm8k,8,4,-2.2344467639923096,-2.2005817890167236,-2.186014413833618,-0.430160645186181
1,gsm8k,8,5,-2.2344467639923096,-2.2005817890167236,-2.1856701374053955,-0.4403267985683225
1,gsm8k,16,0,-2.2344467639923096,-2.2005817890167236,-2.1971874237060547,-0.10023235851907789
1,gsm8k,16,1,-2.2344467639923096,-2.2005817890167236,-2.206862449645996,0.18546189649982925
1,gsm8k,16,2,-2.2344467639923096,-2.2005817890167236,-2.2003610134124756,-0.00651929226583312
1,gsm8k,16,3,-2.2344467639923096,-2.2005817890167236,-2.2205708026885986,0.5902564401376337
1,gsm8k,16,4,-2.2344467639923096,-2.2005817890167236,-2.191088914871216,-0.2803154868859735
1,gsm8k,16,5,-2.2344467639923096,-2.2005817890167236,-2.207111358642578,0.19281194091184845
1,gsm8k,23,0,-2.2344467639923096,-2.2005817890167236,-2.214608907699585,0.4142073878704382
1,gsm8k,23,1,-2.2344467639923096,-2.2005817890167236,-2.193345069885254,-0.21369338892530526
1,gsm8k,23,2,-2.2344467639923096,-2.2005817890167236,-2.2076258659362793,0.20800484880565823
1,gsm8k,23,3,-2.2344467639923096,-2.2005817890167236,-2.207486391067505,0.20388628943685436
1,gsm8k,23,4,-2.2344467639923096,-2.2005817890167236,-2.194720506668091,-0.17307805730371642
1,gsm8k,23,5,-2.2344467639923096,-2.2005817890167236,-2.1988978385925293,-0.049725444139934474
1,gsm8k,31,0,-2.2344467639923096,-2.2005817890167236,-2.2005817890167236,-0.0
1,gsm8k,31,1,-2.2344467639923096,-2.2005817890167236,-2.2005817890167236,-0.0
1,gsm8k,31,2,-2.2344467639923096,-2.2005817890167236,-2.2005817890167236,-0.0
1,gsm8k,31,3,-2.2344467639923096,-2.2005817890167236,-2.2005817890167236,-0.0
1,gsm8k,31,4,-2.2344467639923096,-2.2005817890167236,-2.2005817890167236,-0.0
1,gsm8k,31,5,-2.2344467639923096,-2.2005817890167236,-2.2005817890167236,-0.0
2,gsm8k,0,0,-2.0938456058502197,-2.1124191284179688,-2.0382699966430664,3.9921932731124325
2,gsm8k,0,1,-2.0938456058502197,-2.1124191284179688,-1.8947306871414185,11.720357475483326
2,gsm8k,0,2,-2.0938456058502197,-2.1124191284179688,-2.0825016498565674,1.6107586670588396
2,gsm8k,0,3,-2.0938456058502197,-2.1124191284179688,-2.0981643199920654,0.7674796581591209
2,gsm8k,0,4,-2.0938456058502197,-2.1124191284179688,-2.2465200424194336,-7.220000477147622
2,gsm8k,0,5,-2.0938456058502197,-2.1124191284179688,-2.1964828968048096,-4.52599784560147
2,gsm8k,8,0,-2.0938456058502197,-2.1124191284179688,-2.1110548973083496,0.07345027687344645
2,gsm8k,8,1,-2.0938456058502197,-2.1124191284179688,-2.180832624435425,-3.68338633310116
2,gsm8k,8,2,-2.0938456058502197,-2.1124191284179688,-2.103490114212036,0.4807386087360089
2,gsm8k,8,3,-2.0938456058502197,-2.1124191284179688,-2.095825433731079,0.8934054212015028
