layer,clean_mean_logprob,corrupt_mean_logprob,patched_mean_logprob,recovery_mean,clean_sum_logprob,corrupt_sum_logprob,patched_sum_logprob,recovery_sum
0,-1.9898979663848877,-1.9827041774988174,-1.986928254365921,3.2172538321185593,-17.101699948310852,-17.04582691192627,-17.052849173545837,3.217249920213099
1,-1.9898979663848877,-1.9827041774988174,-1.9843942523002625,0.8265014918538491,-17.101699948310852,-17.04582691192627,-17.053674340248108,0.8264978181117599
2,-1.9898979663848877,-1.9827041774988174,-1.9663496762514114,-2.0247460356930853,-17.101699948310852,-17.04582691192627,-16.92124354839325,-2.0247421098566654
3,-1.9898979663848877,-1.9827041774988174,-1.9768481105566025,-2.6575256071973956,-17.101699948310852,-17.04582691192627,-17.02205765247345,-2.657520772363177
4,-1.9898979663848877,-1.9827041774988174,-1.9492606818675995,-2.32464337514264,-17.101699948310852,-17.04582691192627,-16.777644753456116,-2.3246420878436864
5,-1.9898979663848877,-1.9827041774988174,-1.981811285018921,0.47188789072197473,-17.101699948310852,-17.04582691192627,-17.042869210243225,0.47188526553356724
6,-1.9898979663848877,-1.9827041774988174,-1.9886583536863327,0.6182854937637702,-17.101699948310852,-17.04582691192627,-17.098140478134155,0.6182816079757167
7,-1.9898979663848877,-1.9827041774988174,-1.9915523529052734,0.48857594407359756,-17.101699948310852,-17.04582691192627,-17.12305748462677,0.48857275612663187
8,-1.9898979663848877,-1.9827041774988174,-2.010035827755928,-0.292172779341144,-17.101699948310852,-17.04582691192627,-17.292689442634583,-0.29217650671554474
9,-1.9898979663848877,-1.9827041774988174,-2.019765317440033,-0.5693233193996674,-17.101699948310852,-17.04582691192627,-17.37773609161377,-0.569325483357978
10,-1.9898979663848877,-1.9827041774988174,-2.010216549038887,-0.4935286293846708,-17.101699948310852,-17.04582691192627,-17.295709490776062,-0.49353209070045634
11,-1.9898979663848877,-1.9827041774988174,-2.0204820334911346,-0.1639378153691189,-17.101699948310852,-17.04582691192627,-17.380910634994507,-0.16393774098782465
12,-1.9898979663848877,-1.9827041774988174,-2.0254676938056946,-0.05438620212585257,-17.101699948310852,-17.04582691192627,-17.421334505081177,-0.054390217896116394
13,-1.9898979663848877,-1.9827041774988174,-2.0268920809030533,-0.055172653252061776,-17.101699948310852,-17.04582691192627,-17.436211824417114,-0.05517324203521595
14,-1.9898979663848877,-1.9827041774988174,-2.0397177934646606,-0.06639599688729839,-17.101699948310852,-17.04582691192627,-17.549933314323425,-0.06639664955700841
15,-1.9898979663848877,-1.9827041774988174,-2.0307977497577667,-0.27436707942848787,-17.101699948310852,-17.04582691192627,-17.478104948997498,-0.27436705633825603
16,-1.9898979663848877,-1.9827041774988174,-2.0290381759405136,-0.3482216656418053,-17.101699948310852,-17.04582691192627,-17.462323784828186,-0.3482258779466862
17,-1.9898979663848877,-1.9827041774988174,-2.034037947654724,-0.16212193182769513,-17.101699948310852,-17.04582691192627,-17.50535762310028,-0.1621210578882932
18,-1.9898979663848877,-1.9827041774988174,-2.0266541689634323,0.17976680422210506,-17.101699948310852,-17.04582691192627,-17.432974457740784,0.17976408548661052
19,-1.9898979663848877,-1.9827041774988174,-2.026651069521904,-0.27265850883623705,-17.101699948310852,-17.04582691192627,-17.434173941612244,-0.27266193942693917
20,-1.9898979663848877,-1.9827041774988174,-2.0224985629320145,-0.18287413205350714,-17.101699948310852,-17.04582691192627,-17.396986961364746,-0.18287807786406476
21,-1.9898979663848877,-1.9827041774988174,-2.0251248329877853,-0.31588341111181273,-17.101699948310852,-17.04582691192627,-17.420332670211792,-0.31588839183626505
22,-1.9898979663848877,-1.9827041774988174,-2.023099794983864,-0.5129668193388954,-17.101699948310852,-17.04582691192627,-17.403007745742798,-0.5129674630451038
23,-1.9898979663848877,-1.9827041774988174,-2.019045040011406,-1.0147809715200362,-17.101699948310852,-17.04582691192627,-17.373268604278564,-1.0147793138783412
24,-1.9898979663848877,-1.9827041774988174,-2.0160030275583267,-0.7037984113324022,-17.101699948310852,-17.04582691192627,-17.345333337783813,-0.7037965600669658
25,-1.9898979663848877,-1.9827041774988174,-1.979312241077423,-0.24617030195401735,-17.101699948310852,-17.04582691192627,-17.021531581878662,-0.2461734595672353
26,-1.9898979663848877,-1.9827041774988174,-1.9831078797578812,-0.13085954507443123,-17.101699948310852,-17.04582691192627,-17.051729440689087,-0.1308587578928517
27,-1.9898979663848877,-1.9827041774988174,-1.977499321103096,-0.09096502575688545,-17.101699948310852,-17.04582691192627,-17.003827929496765,-0.09096455153012765
28,-1.9898979663848877,-1.9827041774988174,-1.9833243638277054,-0.010907859205984234,-17.101699948310852,-17.04582691192627,-17.054251551628113,-0.010906993116648642
29,-1.9898979663848877,-1.9827041774988174,-1.9860162287950516,0.27018103004157823,-17.101699948310852,-17.04582691192627,-17.07334053516388,0.2701807138748831
30,-1.9898979663848877,-1.9827041774988174,-1.9823096543550491,-0.06375388395967019,-17.101699948310852,-17.04582691192627,-17.04377019405365,-0.06375338550105128
31,-1.9898979663848877,-1.9827041774988174,-1.9827041774988174,0.0,-17.101699948310852,-17.04582691192627,-17.04582691192627,0.0
