layer,position,patched_mean_logprob,recovery_mean
0,0,-1.9285334646701813,0.5370598592691758
0,1,-1.8786725401878357,1.6321014291341014
0,2,-1.922588661313057,-3.1460196360168946
0,3,-1.9718243181705475,0.5438916589492321
0,4,-2.005765676498413,-0.6171016012691813
0,5,-1.992025837302208,1.5669109056895916
8,0,-1.9903814196586609,-0.07692727826783302
8,1,-2.0271366238594055,0.2631286296087132
8,2,-1.9695906341075897,0.5747086339401948
8,3,-1.9734942615032196,0.006276767413439023
8,4,-1.9854060113430023,-0.1632719029353362
8,5,-1.9854244887828827,-0.14504647080734037
16,0,-1.9857571721076965,0.04717979731197508
16,1,-2.017252117395401,-0.36392868561393665
16,2,-1.9951382875442505,0.2787268468550258
16,3,-1.979539468884468,-0.07329000331816249
16,4,-1.9886923879384995,0.3321866424614614
16,5,-1.9881722033023834,-0.006849914866682422
23,0,-1.992918536067009,0.06669684046320365
23,1,-2.0058731734752655,-0.9144691091598004
23,2,-1.995286002755165,0.2302328964945473
23,3,-1.9860150963068008,-0.17565426802415948
23,4,-1.982045441865921,0.0016468548706497482
23,5,-1.9846381843090057,-0.04950330405145098
31,0,-1.9827041774988174,0.0
31,1,-1.9827041774988174,0.0
31,2,-1.9827041774988174,0.0
31,3,-1.9827041774988174,0.0
31,4,-1.9827041774988174,0.0
31,5,-1.9827041774988174,0.0
