layer,head,delta_prefix_mass_head,clean_prefix_mass_head,corrupt_prefix_mass_head
1,2.0,0.2193145751953125,0.421539306640625,0.2022247314453125
11,2.0,0.1156768798828125,0.308441162109375,0.1927642822265625
2,22.0,0.08221054077148438,0.2022705078125,0.12005996704101562
2,16.0,0.081756591796875,0.288238525390625,0.20648193359375
14,22.0,0.0631103515625,0.48309326171875,0.41998291015625
28,7.0,0.0626220703125,0.64434814453125,0.58172607421875
27,8.0,0.06121826171875,0.70330810546875,0.64208984375
29,11.0,0.060394287109375,0.63140869140625,0.571014404296875
21,7.0,0.05718994140625,0.51446533203125,0.457275390625
29,28.0,0.055938720703125,0.62493896484375,0.569000244140625
11,29.0,0.05572509765625,0.72357177734375,0.6678466796875
28,14.0,0.05389404296875,0.65771484375,0.60382080078125
