layer,clean_mean_logprob,corrupt_mean_logprob,patched_mean_logprob,recovery_mean,clean_sum_logprob,corrupt_sum_logprob,patched_sum_logprob,recovery_sum
0,-2.1651779214541116,-1.5454450448354085,-2.054759611686071,0.8488326176418012,-15.156244595845541,-10.818114837010702,-14.383316596349081,0.8488326183844537
1,-2.1651779214541116,-1.5454450448354085,-2.161215752363205,0.9976061851961968,-15.156244595845541,-10.818114837010702,-15.128509521484375,0.9976061867739799
2,-2.1651779214541116,-1.5454450448354085,-2.258725345134735,1.087294101894122,-15.156244595845541,-10.818114837010702,-15.811076720555624,1.0872941361946773
3,-2.1651779214541116,-1.5454450448354085,-2.097934663295746,0.9194656076388185,-15.156244595845541,-10.818114837010702,-14.685541868209839,0.9194655917172412
4,-2.1651779214541116,-1.5454450448354085,-2.230031152566274,1.0901500860214763,-15.156244595845541,-10.818114837010702,-15.610217332839966,1.090150098820053
5,-2.1651779214541116,-1.5454450448354085,-2.136036862929662,0.9249868681402043,-15.156244595845541,-10.818114837010702,-14.95225723584493,0.9249868455554503
6,-2.1651779214541116,-1.5454450448354085,-2.0127329428990683,0.7353983676105269,-15.156244595845541,-10.818114837010702,-14.08912984530131,0.7353983578130033
7,-2.1651779214541116,-1.5454450448354085,-2.0701485772927604,0.82702836171145,-15.156244595845541,-10.818114837010702,-14.491039196650187,0.8270283308423041
8,-2.1651779214541116,-1.5454450448354085,-1.9826731483141582,0.6871034079343015,-15.156244595845541,-10.818114837010702,-13.878711541493734,0.6871034468370936
9,-2.1651779214541116,-1.5454450448354085,-1.9309343198935192,0.6053671615523036,-15.156244595845541,-10.818114837010702,-13.516539891560873,0.6053672372637601
10,-2.1651779214541116,-1.5454450448354085,-1.8243394593397777,0.43318411612219004,-15.156244595845541,-10.818114837010702,-12.770375649134317,0.433184124784529
11,-2.1651779214541116,-1.5454450448354085,-1.744393030802409,0.3105864958445583,-15.156244595845541,-10.818114837010702,-12.210750738779703,0.3105865224523772
12,-2.1651779214541116,-1.5454450448354085,-1.745331605275472,0.30593649159079117,-15.156244595845541,-10.818114837010702,-12.217320680618286,0.30593649029767384
13,-2.1651779214541116,-1.5454450448354085,-1.7555417319138844,0.32214999538209227,-15.156244595845541,-10.818114837010702,-12.28879165649414,0.3221500288264347
14,-2.1651779214541116,-1.5454450448354085,-1.7053912281990051,0.24690926667443747,-15.156244595845541,-10.818114837010702,-11.937738100687662,0.24690929848480303
15,-2.1651779214541116,-1.5454450448354085,-1.6746693352858226,0.19692726197344598,-15.156244595845541,-10.818114837010702,-11.722684780756632,0.1969272666819828
16,-2.1651779214541116,-1.5454450448354085,-1.6715913116931915,0.19948562399561864,-15.156244595845541,-10.818114837010702,-11.701138734817505,0.19948565933121562
17,-2.1651779214541116,-1.5454450448354085,-1.6597921252250671,0.18564491042867315,-15.156244595845541,-10.818114837010702,-11.618544260660807,0.18564490093952182
18,-2.1651779214541116,-1.5454450448354085,-1.6690131624539692,0.20369463358649706,-15.156244595845541,-10.818114837010702,-11.683091719945272,0.20369466330396901
19,-2.1651779214541116,-1.5454450448354085,-1.6688333948453267,0.20613213354328785,-15.156244595845541,-10.818114837010702,-11.681833187739054,0.20613212471475592
20,-2.1651779214541116,-1.5454450448354085,-1.6935398280620575,0.24955753714745335,-15.156244595845541,-10.818114837010702,-11.854778289794922,0.24955754709219477
21,-2.1651779214541116,-1.5454450448354085,-1.6959541340668995,0.259018080158838,-15.156244595845541,-10.818114837010702,-11.871678352355957,0.2590180615670035
22,-2.1651779214541116,-1.5454450448354085,-1.7153414984544118,0.2897774629267142,-15.156244595845541,-10.818114837010702,-12.007389942804972,0.28977746555085165
23,-2.1651779214541116,-1.5454450448354085,-1.7021315296490986,0.26491373983881344,-15.156244595845541,-10.818114837010702,-11.914920171101889,0.26491374443166943
24,-2.1651779214541116,-1.5454450448354085,-1.6960765520731609,0.248745984541803,-15.156244595845541,-10.818114837010702,-11.872535387674967,0.2487459955811808
25,-2.1651779214541116,-1.5454450448354085,-1.5955733060836792,0.08225235928319354,-15.156244595845541,-10.818114837010702,-11.169012626012167,0.08225236630348616
26,-2.1651779214541116,-1.5454450448354085,-1.592589944601059,0.0761138524742566,-15.156244595845541,-10.818114837010702,-11.148129145304361,0.07611387023123352
27,-2.1651779214541116,-1.5454450448354085,-1.5442438224951427,-0.005129881835462769,-15.156244595845541,-10.818114837010702,-10.809706290562948,-0.005129886879522378
28,-2.1651779214541116,-1.5454450448354085,-1.5447237888971965,-0.003120498064113552,-15.156244595845541,-10.818114837010702,-10.813066164652506,-0.003120452795687271
29,-2.1651779214541116,-1.5454450448354085,-1.5372279783089955,-0.019536540733633225,-15.156244595845541,-10.818114837010702,-10.760595480600992,-0.019536511027108117
30,-2.1651779214541116,-1.5454450448354085,-1.545594573020935,0.0001886282880462681,-15.156244595845541,-10.818114837010702,-10.819161574045816,0.000188634959134778
31,-2.1651779214541116,-1.5454450448354085,-1.5454450448354085,0.0,-15.156244595845541,-10.818114837010702,-10.818114837010702,0.0
