layer,position,patched_mean_logprob,recovery_mean
0,0,-1.928685377041499,0.6537422431300822
0,1,-1.3705326120058696,-0.3209149583554109
0,2,-1.5958548784255981,0.14515529093588744
0,3,-1.4921885232130687,-0.056625340311867556
0,4,-1.5130218366781871,-0.04826239697010823
0,5,-1.5372913777828217,-0.01567135258172654
8,0,-1.548739989598592,0.005539437893087592
8,1,-1.7254663705825806,0.29818978741287494
8,2,-1.6381752888361614,0.15816380919971498
8,3,-1.547056406736374,0.0004924235972694103
8,4,-1.5446426769097645,0.00039750547664636673
8,5,-1.5496709942817688,-0.0038422021242035982
16,0,-1.5511833528677623,0.011519433106621535
16,1,-1.6591966648896534,0.1780784276120004
16,2,-1.5840249359607697,0.052222527646788114
16,3,-1.5508762001991272,0.00863106635384644
16,4,-1.5452980895837147,-0.0013096355954881477
16,5,-1.553924153248469,0.007110597126232403
23,0,-1.552172730366389,0.012387831960919554
23,1,-1.6866437594095867,0.23243829732695018
23,2,-1.5589831074078877,0.02353532726310861
23,3,-1.5425305763880413,-0.003393494370515914
23,4,-1.5533812443415325,0.01007125222963075
23,5,-1.5432383517424266,-0.003533890078325929
31,0,-1.5454450448354085,0.0
31,1,-1.5454450448354085,0.0
31,2,-1.5454450448354085,0.0
31,3,-1.5454450448354085,0.0
31,4,-1.5454450448354085,0.0
31,5,-1.5454450448354085,0.0
