layer,head,delta_prefix_mass_head,clean_prefix_mass_head,corrupt_prefix_mass_head
30,27.0,0.24709065755208334,0.6837158203125,0.4366251627604167
28,7.0,0.19793701171875,0.5705159505208334,0.3725789388020833
29,17.0,0.1944122314453125,0.5394236246744791,0.3450113932291667
1,2.0,0.17822265625,0.3282267252604167,0.15000406901041666
29,8.0,0.16896565755208334,0.7496744791666666,0.5807088216145834
29,30.0,0.15575154622395834,0.5926717122395834,0.436920166015625
28,30.0,0.15311686197916666,0.5053507486979166,0.35223388671875
29,6.0,0.14143880208333334,0.6834513346354166,0.5420125325520834
25,3.0,0.14136250813802084,0.3319091796875,0.19054667154947916
29,31.0,0.13199869791666666,0.6305745442708334,0.4985758463541667
19,26.0,0.12491861979166667,0.8290608723958334,0.7041422526041666
25,28.0,0.124847412109375,0.444580078125,0.319732666015625
