layer,clean_mean_logprob,corrupt_mean_logprob,patched_mean_logprob,recovery_mean,clean_sum_logprob,corrupt_sum_logprob,patched_sum_logprob,recovery_sum
0,-2.6065014600753784,-1.9047232270240784,-2.637080669403076,1.0536727878090513,-18.2455096244812,-13.333061814308167,-18.459563732147217,1.0536727118040026
1,-2.6065014600753784,-1.9047232270240784,-2.7093763649463654,1.1624952774700084,-18.2455096244812,-13.333061814308167,-18.965633392333984,1.1624951518731153
2,-2.6065014600753784,-1.9047232270240784,-2.610089749097824,1.0152852377778174,-18.2455096244812,-13.333061814308167,-18.27062749862671,1.0152851962500795
3,-2.6065014600753784,-1.9047232270240784,-2.653725743293762,1.0844851220819633,-18.2455096244812,-13.333061814308167,-18.576079607009888,1.0844851116846812
4,-2.6065014600753784,-1.9047232270240784,-2.5718633234500885,0.9553159937436917,-18.2455096244812,-13.333061814308167,-18.003042697906494,0.955315983848701
5,-2.6065014600753784,-1.9047232270240784,-2.5406618416309357,0.9202282412158613,-18.2455096244812,-13.333061814308167,-17.784632444381714,0.9202282780165607
6,-2.6065014600753784,-1.9047232270240784,-2.4813675582408905,0.8371402147018907,-18.2455096244812,-13.333061814308167,-17.369572162628174,0.837140173965359
7,-2.6065014600753784,-1.9047232270240784,-2.443907618522644,0.7844836775443402,-18.2455096244812,-13.333061814308167,-17.10735273361206,0.784483675630125
8,-2.6065014600753784,-1.9047232270240784,-2.2538038790225983,0.5198103350365758,-18.2455096244812,-13.333061814308167,-15.776626110076904,0.5198102396149039
9,-2.6065014600753784,-1.9047232270240784,-2.231410950422287,0.48464321631922225,-18.2455096244812,-13.333061814308167,-15.619876146316528,0.4846432493539156
10,-2.6065014600753784,-1.9047232270240784,-2.1604756712913513,0.37756095961939573,-18.2455096244812,-13.333061814308167,-15.123328804969788,0.3775609278329362
11,-2.6065014600753784,-1.9047232270240784,-2.1622253358364105,0.3826384996940393,-18.2455096244812,-13.333061814308167,-15.135576844215393,0.3826385321406777
12,-2.6065014600753784,-1.9047232270240784,-2.1478750854730606,0.36355968513175707,-18.2455096244812,-13.333061814308167,-15.035125255584717,0.3635597699096034
13,-2.6065014600753784,-1.9047232270240784,-2.140152633190155,0.3502081290796062,-18.2455096244812,-13.333061814308167,-14.981067657470703,0.35020810820193804
14,-2.6065014600753784,-1.9047232270240784,-2.0970723032951355,0.2869421935490953,-18.2455096244812,-13.333061814308167,-14.679505348205566,0.286942200943388
15,-2.6065014600753784,-1.9047232270240784,-2.075686514377594,0.25386733613761947,-18.2455096244812,-13.333061814308167,-14.529805064201355,0.253867389517102
16,-2.6065014600753784,-1.9047232270240784,-2.069325715303421,0.244137493654615,-18.2455096244812,-13.333061814308167,-14.485279083251953,0.24413744899990686
17,-2.6065014600753784,-1.9047232270240784,-2.0460527688264847,0.20707992215442292,-18.2455096244812,-13.333061814308167,-14.322368621826172,0.20707993366715802
18,-2.6065014600753784,-1.9047232270240784,-2.061208814382553,0.2299672116185715,-18.2455096244812,-13.333061814308167,-14.428460836410522,0.2299671816411945
19,-2.6065014600753784,-1.9047232270240784,-2.049991399049759,0.21356496653745402,-18.2455096244812,-13.333061814308167,-14.349939107894897,0.21356498339587568
20,-2.6065014600753784,-1.9047232270240784,-2.00510336458683,0.14734697401511127,-18.2455096244812,-13.333061814308167,-14.035722851753235,0.1473469880745911
21,-2.6065014600753784,-1.9047232270240784,-2.019169971346855,0.17002677217557793,-18.2455096244812,-13.333061814308167,-14.134189248085022,0.1700268122006533
22,-2.6065014600753784,-1.9047232270240784,-2.0517273396253586,0.22088229852293384,-18.2455096244812,-13.333061814308167,-14.362090587615967,0.22088229255852393
23,-2.6065014600753784,-1.9047232270240784,-2.0338183641433716,0.19395234491007285,-18.2455096244812,-13.333061814308167,-14.236727833747864,0.19395234634383549
24,-2.6065014600753784,-1.9047232270240784,-2.015317052602768,0.16571009943755752,-18.2455096244812,-13.333061814308167,-14.107218742370605,0.1657101349341776
25,-2.6065014600753784,-1.9047232270240784,-1.9405168741941452,0.053044905964168054,-18.2455096244812,-13.333061814308167,-13.583617687225342,0.05304498916476646
26,-2.6065014600753784,-1.9047232270240784,-1.9316312223672867,0.038104359614000875,-18.2455096244812,-13.333061814308167,-13.52141785621643,0.03810437010178237
27,-2.6065014600753784,-1.9047232270240784,-1.9307260513305664,0.0372172297674589,-18.2455096244812,-13.333061814308167,-13.515081524848938,0.037217215585439466
28,-2.6065014600753784,-1.9047232270240784,-1.9358913749456406,0.045229223992975555,-18.2455096244812,-13.333061814308167,-13.551239013671875,0.045229257166659834
29,-2.6065014600753784,-1.9047232270240784,-1.9231760501861572,0.026630080327424265,-18.2455096244812,-13.333061814308167,-13.462231636047363,0.026630103534703978
30,-2.6065014600753784,-1.9047232270240784,-1.904440850019455,-0.0004096389536631329,-18.2455096244812,-13.333061814308167,-13.331085205078125,-0.0004096287480790028
31,-2.6065014600753784,-1.9047232270240784,-1.9047232270240784,0.0,-18.2455096244812,-13.333061814308167,-13.333061814308167,0.0
