layer,position,patched_mean_logprob,recovery_mean
0,0,-2.080050766468048,0.23949835756190727
0,1,-1.7781952619552612,-0.194726667313414
0,2,-1.9573936015367508,0.07544605345962005
0,3,-2.0335530936717987,0.20586539318725677
0,4,-1.875509425997734,-0.07794347032796498
0,5,-1.9868938773870468,0.12911433136454034
8,0,-1.909784123301506,0.006829657504559834
8,1,-2.0856537371873856,0.2561989472252824
8,2,-1.880051076412201,-0.03165323795637172
8,3,-1.9722339510917664,0.11236768313198468
8,4,-1.9156847298145294,-0.00021673280593882162
8,5,-1.9165711551904678,0.03728290414437586
16,0,-1.9033670723438263,-0.0024370418001598516
16,1,-1.9889493882656097,0.12247959154872627
16,2,-1.9676558375358582,0.09392508553154948
16,3,-1.9435198903083801,0.06498103517404152
16,4,-1.9042571187019348,-0.0044310283430716805
16,5,-1.9005124866962433,-0.0060197021607945374
23,0,-1.911420926451683,0.009669106762003488
23,1,-1.9833052307367325,0.1199374560990503
23,2,-1.9361906200647354,0.046526646767857435
23,3,-1.912452757358551,0.013125837403399563
23,4,-1.9072927236557007,0.0045204395953739014
23,5,-1.9035698175430298,-0.0033265260885829147
31,0,-1.9047232270240784,0.0
31,1,-1.9047232270240784,0.0
31,2,-1.9047232270240784,0.0
31,3,-1.9047232270240784,0.0
31,4,-1.9047232270240784,0.0
31,5,-1.9047232270240784,0.0
