layer,head,delta_prefix_mass_head,clean_prefix_mass_head,corrupt_prefix_mass_head
1,2.0,0.2296295166015625,0.468536376953125,0.2389068603515625
19,18.0,0.189544677734375,0.527557373046875,0.3380126953125
24,21.0,0.1771240234375,0.4442138671875,0.26708984375
19,15.0,0.1693115234375,0.591094970703125,0.421783447265625
28,2.0,0.16912841796875,0.7042236328125,0.53509521484375
22,4.0,0.1671142578125,0.6868896484375,0.519775390625
0,23.0,0.15181732177734375,0.25677490234375,0.10495758056640625
17,17.0,0.1493682861328125,0.522735595703125,0.3733673095703125
19,19.0,0.141693115234375,0.75146484375,0.609771728515625
22,6.0,0.1389312744140625,0.39471435546875,0.2557830810546875
24,7.0,0.12841796875,0.7373046875,0.60888671875
19,20.0,0.126739501953125,0.715576171875,0.588836669921875
