mode,layer,clean_prefix_attn,corrupt_prefix_attn,delta_prefix_attn
anchored,0,0.034952545166015626,0.034961700439453125,-9.1552734375e-06
anchored,1,0.04549102783203125,0.04526939392089844,0.0002216339111328125
anchored,2,0.07689285278320312,0.0767852783203125,0.000107574462890625
anchored,3,0.3357757568359375,0.335003662109375,0.0007720947265625
anchored,4,0.3832916259765625,0.3827117919921875,0.000579833984375
anchored,5,0.470166015625,0.469818115234375,0.000347900390625
anchored,6,0.627923583984375,0.62755126953125,0.000372314453125
anchored,7,0.6531494140625,0.65286865234375,0.00028076171875
anchored,8,0.75474853515625,0.75467529296875,7.32421875e-05
anchored,9,0.67861328125,0.67852783203125,8.544921875e-05
anchored,10,0.7067626953125,0.70634765625,0.0004150390625
anchored,11,0.70679931640625,0.70650634765625,0.00029296875
anchored,12,0.7812744140625,0.78115234375,0.0001220703125
anchored,13,0.7639892578125,0.763232421875,0.0007568359375
anchored,14,0.72337646484375,0.72294921875,0.00042724609375
anchored,15,0.7427490234375,0.74210205078125,0.00064697265625
anchored,16,0.6050537109375,0.60406494140625,0.00098876953125
anchored,17,0.7480712890625,0.747216796875,0.0008544921875
anchored,18,0.71895751953125,0.7189208984375,3.662109375e-05
anchored,19,0.7349609375,0.73509521484375,-0.00013427734375
anchored,20,0.77744140625,0.77791748046875,-0.00047607421875
anchored,21,0.8453857421875,0.84532470703125,6.103515625e-05
anchored,22,0.83253173828125,0.8328125,-0.00028076171875
anchored,23,0.80399169921875,0.80419921875,-0.00020751953125
anchored,24,0.844384765625,0.84461669921875,-0.00023193359375
anchored,25,0.76202392578125,0.76201171875,1.220703125e-05
anchored,26,0.746484375,0.74691162109375,-0.00042724609375
anchored,27,0.8,0.80025634765625,-0.00025634765625
anchored,28,0.7126708984375,0.714111328125,-0.0014404296875
anchored,29,0.63935546875,0.6400634765625,-0.0007080078125
anchored,30,0.411553955078125,0.421173095703125,-0.009619140625
anchored,31,0.2765594482421875,0.2832122802734375,-0.00665283203125
plain,0,0.0339874267578125,0.03396034240722656,2.70843505859375e-05
plain,1,0.044798660278320315,0.04466094970703125,0.0001377105712890625
plain,2,0.07205734252929688,0.07203216552734375,2.5177001953125e-05
plain,3,0.3658721923828125,0.3653533935546875,0.000518798828125
plain,4,0.3727874755859375,0.3723236083984375,0.0004638671875
plain,5,0.48297119140625,0.482574462890625,0.000396728515625
plain,6,0.619921875,0.61951904296875,0.00040283203125
plain,7,0.6696044921875,0.669146728515625,0.000457763671875
plain,8,0.73677978515625,0.7364990234375,0.00028076171875
plain,9,0.717822265625,0.71771240234375,0.00010986328125
plain,10,0.69677734375,0.6964599609375,0.0003173828125
plain,11,0.584326171875,0.58365478515625,0.00067138671875
plain,12,0.7046142578125,0.70360107421875,0.00101318359375
plain,13,0.669781494140625,0.668310546875,0.001470947265625
plain,14,0.661383056640625,0.65963134765625,0.001751708984375
plain,15,0.69346923828125,0.69195556640625,0.001513671875
plain,16,0.64334716796875,0.642523193359375,0.000823974609375
plain,17,0.74326171875,0.741650390625,0.001611328125
plain,18,0.67025146484375,0.66929931640625,0.0009521484375
plain,19,0.72918701171875,0.72841796875,0.00076904296875
plain,20,0.8098388671875,0.80921630859375,0.00062255859375
plain,21,0.82860107421875,0.8287353515625,-0.00013427734375
plain,22,0.82088623046875,0.82103271484375,-0.000146484375
plain,23,0.82823486328125,0.82801513671875,0.0002197265625
plain,24,0.894189453125,0.89439697265625,-0.00020751953125
plain,25,0.818310546875,0.81837158203125,-6.103515625e-05
plain,26,0.80882568359375,0.80889892578125,-7.32421875e-05
plain,27,0.85535888671875,0.8552734375,8.544921875e-05
plain,28,0.76978759765625,0.7701171875,-0.00032958984375
plain,29,0.652587890625,0.65316162109375,-0.00057373046875
plain,30,0.4392578125,0.444830322265625,-0.005572509765625
plain,31,0.310638427734375,0.3148193359375,-0.004180908203125
