sample_id,mode,layer,clean_dla,corrupt_dla,delta_dla
0,anchored,0,3.212005615234375,3.212005615234375,0.0
0,anchored,1,-0.19984889030456543,-0.19675683975219727,-0.003092050552368164
0,anchored,2,0.42244458198547363,0.4248368740081787,-0.002392292022705078
0,anchored,3,0.7807128429412842,0.7785263061523438,0.0021865367889404297
0,anchored,4,1.0081562995910645,1.0062873363494873,0.0018689632415771484
0,anchored,5,0.9434312582015991,0.9435285329818726,-9.72747802734375e-05
0,anchored,6,-0.01587510108947754,-0.02764827013015747,0.011773169040679932
0,anchored,7,2.995028257369995,2.9829373359680176,0.012090921401977539
0,anchored,8,3.887019395828247,3.870866060256958,0.016153335571289062
0,anchored,9,3.8039445877075195,3.8491692543029785,-0.045224666595458984
0,anchored,10,3.500119686126709,3.5323495864868164,-0.03222990036010742
0,anchored,11,3.0023317337036133,3.0008420944213867,0.0014896392822265625
0,anchored,12,2.6377687454223633,2.650023937225342,-0.012255191802978516
0,anchored,13,4.844885349273682,4.800970077514648,0.0439152717590332
0,anchored,14,7.009427070617676,6.970530986785889,0.03889608383178711
0,anchored,15,5.910574913024902,5.916051864624023,-0.005476951599121094
0,anchored,16,7.4235920906066895,7.436191558837891,-0.012599468231201172
0,anchored,17,3.744884967803955,3.734271764755249,0.010613203048706055
0,anchored,18,3.9738941192626953,3.9893157482147217,-0.015421628952026367
0,anchored,19,5.844156265258789,5.865638732910156,-0.021482467651367188
0,anchored,20,6.126463890075684,6.122569561004639,0.003894329071044922
0,anchored,21,4.072595596313477,4.079680442810059,-0.007084846496582031
0,anchored,22,4.086699962615967,4.089863300323486,-0.0031633377075195312
0,anchored,23,4.217726707458496,4.22421932220459,-0.00649261474609375
0,anchored,24,3.6862568855285645,3.6781132221221924,0.00814366340637207
0,anchored,25,5.156235218048096,5.145730972290039,0.01050424575805664
0,anchored,26,6.022708415985107,5.973954677581787,0.04875373840332031
0,anchored,27,5.816037654876709,5.7555131912231445,0.06052446365356445
0,anchored,28,8.522758483886719,8.500714302062988,0.02204418182373047
0,anchored,29,9.02370834350586,9.030686378479004,-0.006978034973144531
0,anchored,30,11.307988166809082,11.330801010131836,-0.022812843322753906
0,anchored,31,13.643888473510742,13.639129638671875,0.0047588348388671875
0,anchored,32,46.084495544433594,46.09610366821289,-0.011608123779296875
0,plain,0,3.212005615234375,3.212005615234375,0.0
0,plain,1,-0.8591809272766113,-0.8510738611221313,-0.00810706615447998
0,plain,2,-1.4649282693862915,-1.4532657861709595,-0.011662483215332031
0,plain,3,-1.117440104484558,-1.106860876083374,-0.010579228401184082
0,plain,4,-0.17136025428771973,-0.16054558753967285,-0.010814666748046875
0,plain,5,2.4362566471099854,2.4360947608947754,0.00016188621520996094
0,plain,6,1.9374576807022095,1.9417849779129028,-0.004327297210693359
0,plain,7,3.4228885173797607,3.4383506774902344,-0.015462160110473633
0,plain,8,3.333709478378296,3.353715658187866,-0.020006179809570312
0,plain,9,2.6385796070098877,2.668266773223877,-0.029687166213989258
0,plain,10,4.877571105957031,4.911794662475586,-0.03422355651855469
0,plain,11,4.762546062469482,4.809530735015869,-0.04698467254638672
0,plain,12,0.0317692756652832,0.0448307991027832,-0.0130615234375
0,plain,13,2.7822513580322266,2.7556796073913574,0.02657175064086914
0,plain,14,3.6815431118011475,3.6062045097351074,0.07533860206604004
0,plain,15,3.8617959022521973,3.8080899715423584,0.05370593070983887
0,plain,16,5.438778877258301,5.363716125488281,0.07506275177001953
0,plain,17,3.0883636474609375,3.034775495529175,0.053588151931762695
0,plain,18,4.004788398742676,3.948831558227539,0.05595684051513672
0,plain,19,5.138016223907471,5.070998191833496,0.06701803207397461
0,plain,20,5.297023773193359,5.232838153839111,0.06418561935424805
0,plain,21,4.492289066314697,4.486667156219482,0.005621910095214844
0,plain,22,3.9251298904418945,3.931671142578125,-0.006541252136230469
0,plain,23,4.723666667938232,4.710633754730225,0.013032913208007812
0,plain,24,3.32230806350708,3.3425986766815186,-0.020290613174438477
0,plain,25,5.21294641494751,5.188130855560303,0.02481555938720703
0,plain,26,5.699882984161377,5.6839423179626465,0.01594066619873047
0,plain,27,4.372112274169922,4.325946807861328,0.04616546630859375
0,plain,28,5.207720756530762,5.223357200622559,-0.015636444091796875
0,plain,29,7.292671203613281,7.324543476104736,-0.03187227249145508
0,plain,30,9.609899520874023,9.680105209350586,-0.0702056884765625
0,plain,31,12.4021635055542,12.484172821044922,-0.08200931549072266
0,plain,32,43.93980026245117,43.98841094970703,-0.048610687255859375
1,anchored,0,3.212005615234375,3.212005615234375,0.0
1,anchored,1,-0.28527581691741943,-0.27382636070251465,-0.011449456214904785
1,anchored,2,0.5726001262664795,0.5706369876861572,0.0019631385803222656
1,anchored,3,0.9913209676742554,0.9925384521484375,-0.001217484474182129
1,anchored,4,0.9871635437011719,0.9294440746307373,0.05771946907043457
1,anchored,5,1.1180311441421509,1.0724433660507202,0.045587778091430664
1,anchored,6,0.3875770568847656,0.3383614420890808,0.049215614795684814
1,anchored,7,2.518630266189575,2.504302501678467,0.014327764511108398
1,anchored,8,2.9541332721710205,2.960772752761841,-0.0066394805908203125
1,anchored,9,2.0459210872650146,2.095175266265869,-0.04925417900085449
1,anchored,10,3.4145116806030273,3.559798002243042,-0.14528632164001465
1,anchored,11,3.3763482570648193,3.479800224304199,-0.10345196723937988
1,anchored,12,2.3165669441223145,2.3723654747009277,-0.05579853057861328
1,anchored,13,4.9873762130737305,4.983219146728516,0.004157066345214844
1,anchored,14,6.398767471313477,6.4372382164001465,-0.03847074508666992
1,anchored,15,4.758480072021484,4.846479415893555,-0.08799934387207031
1,anchored,16,7.269711494445801,7.3011369705200195,-0.03142547607421875
1,anchored,17,5.298705101013184,5.314762115478516,-0.01605701446533203
1,anchored,18,5.094247817993164,5.114317417144775,-0.020069599151611328
1,anchored,19,6.476748466491699,6.433212757110596,0.043535709381103516
1,anchored,20,6.121677398681641,6.092031478881836,0.029645919799804688
1,anchored,21,4.254421234130859,4.234667778015137,0.019753456115722656
1,anchored,22,4.155542373657227,4.184276103973389,-0.02873373031616211
1,anchored,23,4.759210109710693,4.8108720779418945,-0.05166196823120117
1,anchored,24,3.3790102005004883,3.414816379547119,-0.03580617904663086
1,anchored,25,4.713640213012695,4.806461811065674,-0.09282159805297852
1,anchored,26,4.894473552703857,5.006447792053223,-0.11197423934936523
1,anchored,27,4.110447883605957,4.232800006866455,-0.12235212326049805
1,anchored,28,7.210080146789551,7.298845291137695,-0.08876514434814453
1,anchored,29,8.268145561218262,8.32425308227539,-0.056107521057128906
1,anchored,30,10.946929931640625,11.022605895996094,-0.07567596435546875
1,anchored,31,13.34031867980957,13.363164901733398,-0.022846221923828125
1,anchored,32,44.90584182739258,44.82280731201172,0.08303451538085938
1,plain,0,3.212005615234375,3.212005615234375,0.0
1,plain,1,-0.8356948494911194,-0.8274639844894409,-0.008230865001678467
1,plain,2,-1.1513170003890991,-1.1738030910491943,0.022486090660095215
1,plain,3,-1.033616065979004,-1.030268669128418,-0.0033473968505859375
1,plain,4,-0.9366797208786011,-0.9318192005157471,-0.004860520362854004
1,plain,5,2.596994400024414,2.58785343170166,0.009140968322753906
1,plain,6,2.4878957271575928,2.4423000812530518,0.045595645904541016
1,plain,7,3.4357948303222656,3.431791067123413,0.004003763198852539
1,plain,8,4.248944282531738,4.191856861114502,0.05708742141723633
1,plain,9,2.2610044479370117,2.2060720920562744,0.054932355880737305
1,plain,10,4.942365646362305,4.888926029205322,0.05343961715698242
1,plain,11,5.24941349029541,5.19921875,0.050194740295410156
1,plain,12,0.762782096862793,0.6880807876586914,0.07470130920410156
1,plain,13,3.041071891784668,2.965517044067383,0.07555484771728516
1,plain,14,4.144792556762695,4.086319446563721,0.05847311019897461
1,plain,15,3.953014850616455,3.93680477142334,0.016210079193115234
1,plain,16,6.795111179351807,6.823903560638428,-0.028792381286621094
1,plain,17,3.7467169761657715,3.7610535621643066,-0.014336585998535156
1,plain,18,4.348058700561523,4.37495756149292,-0.026898860931396484
1,plain,19,3.866990089416504,3.9020185470581055,-0.03502845764160156
1,plain,20,4.450366497039795,4.487321376800537,-0.03695487976074219
1,plain,21,3.5550384521484375,3.5866177082061768,-0.03157925605773926
1,plain,22,3.46227765083313,3.495396137237549,-0.033118486404418945
