mode,layer,clean_target_logit,corrupt_target_logit,patched_target_logit,recovery
anchored,14,42.19921875,42.1765625,42.17734375,0.004166666444444456
anchored,15,42.19921875,42.1765625,42.1765625,0.0
anchored,16,42.19921875,42.1765625,42.17734375,0.004166666444444456
anchored,17,42.19921875,42.1765625,42.17734375,0.004166666444444456
anchored,18,42.19921875,42.1765625,42.17734375,-0.0050000003200000205
plain,14,41.64453125,41.6828125,41.684375,0.017499997680000344
plain,15,41.64453125,41.6828125,41.684375,0.017499997680000344
plain,16,41.64453125,41.6828125,41.684375,0.017499997680000344
plain,17,41.64453125,41.6828125,41.684375,0.017499997680000344
plain,18,41.64453125,41.6828125,41.68359375,0.012499998000000321
