sample_id,mode,layer,clean_target_logit,corrupt_target_logit,patched_target_logit,recovery,patch_window
0,anchored,14,42.625,42.65625,42.65625,-0.0,12
0,anchored,15,42.625,42.65625,42.65625,-0.0,12
0,anchored,16,42.625,42.65625,42.65625,-0.0,12
0,anchored,17,42.625,42.65625,42.65625,-0.0,12
0,anchored,18,42.625,42.65625,42.65625,-0.0,12
0,plain,14,41.15625,41.25,41.25,-0.0,12
0,plain,15,41.15625,41.25,41.25,-0.0,12
0,plain,16,41.15625,41.25,41.25,-0.0,12
0,plain,17,41.15625,41.25,41.25,-0.0,12
0,plain,18,41.15625,41.25,41.25,-0.0,12
1,anchored,14,41.25,41.03125,41.03125,0.0,12
1,anchored,15,41.25,41.03125,41.03125,0.0,12
1,anchored,16,41.25,41.03125,41.03125,0.0,12
1,anchored,17,41.25,41.03125,41.03125,0.0,12
1,anchored,18,41.25,41.03125,41.03125,0.0,12
1,plain,14,41.28125,41.28125,41.28125,0.0,12
1,plain,15,41.28125,41.28125,41.28125,0.0,12
1,plain,16,41.28125,41.28125,41.28125,0.0,12
1,plain,17,41.28125,41.28125,41.28125,0.0,12
1,plain,18,41.28125,41.28125,41.28125,0.0,12
2,anchored,14,43.65625,43.5625,43.5625,0.0,12
2,anchored,15,43.65625,43.5625,43.5625,0.0,12
2,anchored,16,43.65625,43.5625,43.5625,0.0,12
2,anchored,17,43.65625,43.5625,43.5625,0.0,12
2,anchored,18,43.65625,43.5625,43.5625,0.0,12
2,plain,14,41.5,41.5,41.5,0.0,12
2,plain,15,41.5,41.5,41.5,0.0,12
2,plain,16,41.5,41.5,41.5,0.0,12
2,plain,17,41.5,41.5,41.5,0.0,12
2,plain,18,41.5,41.5,41.5,0.0,12
3,anchored,14,42.75,42.75,42.75,0.0,12
3,anchored,15,42.75,42.75,42.75,0.0,12
3,anchored,16,42.75,42.75,42.75,0.0,12
3,anchored,17,42.75,42.75,42.75,0.0,12
3,anchored,18,42.75,42.75,42.75,0.0,12
3,plain,14,41.75,41.75,41.75,0.0,12
3,plain,15,41.75,41.75,41.75,0.0,12
3,plain,16,41.75,41.75,41.75,0.0,12
3,plain,17,41.75,41.75,41.75,0.0,12
3,plain,18,41.75,41.75,41.75,0.0,12
4,anchored,14,43.03125,43.0,43.0,0.0,12
4,anchored,15,43.03125,43.0,43.0,0.0,12
4,anchored,16,43.03125,43.0,43.0,0.0,12
4,anchored,17,43.03125,43.0,43.0,0.0,12
4,anchored,18,43.03125,43.0,43.0,0.0,12
4,plain,14,43.46875,43.46875,43.46875,0.0,12
4,plain,15,43.46875,43.46875,43.46875,0.0,12
4,plain,16,43.46875,43.46875,43.46875,0.0,12
4,plain,17,43.46875,43.46875,43.46875,0.0,12
4,plain,18,43.46875,43.46875,43.46875,0.0,12
5,anchored,14,42.28125,42.3125,42.3125,-0.0,12
5,anchored,15,42.28125,42.3125,42.3125,-0.0,12
5,anchored,16,42.28125,42.3125,42.3125,-0.0,12
5,anchored,17,42.28125,42.3125,42.3125,-0.0,12
5,anchored,18,42.28125,42.3125,42.3125,-0.0,12
5,plain,14,41.65625,41.71875,41.71875,-0.0,12
5,plain,15,41.65625,41.71875,41.71875,-0.0,12
5,plain,16,41.65625,41.71875,41.71875,-0.0,12
5,plain,17,41.65625,41.71875,41.71875,-0.0,12
5,plain,18,41.65625,41.71875,41.71875,-0.0,12
6,anchored,14,42.90625,42.90625,42.90625,0.0,12
6,anchored,15,42.90625,42.90625,42.90625,0.0,12
6,anchored,16,42.90625,42.90625,42.90625,0.0,12
6,anchored,17,42.90625,42.90625,42.90625,0.0,12
6,anchored,18,42.90625,42.90625,42.90625,0.0,12
6,plain,14,42.71875,42.71875,42.71875,0.0,12
6,plain,15,42.71875,42.71875,42.71875,0.0,12
6,plain,16,42.71875,42.71875,42.71875,0.0,12
6,plain,17,42.71875,42.71875,42.71875,0.0,12
6,plain,18,42.71875,42.71875,42.71875,0.0,12
7,anchored,14,40.34375,40.40625,40.40625,-0.0,12
7,anchored,15,40.34375,40.40625,40.40625,-0.0,12
7,anchored,16,40.34375,40.40625,40.40625,-0.0,12
7,anchored,17,40.34375,40.40625,40.40625,-0.0,12
7,anchored,18,40.34375,40.40625,40.40625,-0.0,12
7,plain,14,39.3125,39.34375,39.34375,-0.0,12
7,plain,15,39.3125,39.34375,39.34375,-0.0,12
7,plain,16,39.3125,39.34375,39.34375,-0.0,12
7,plain,17,39.3125,39.34375,39.34375,-0.0,12
7,plain,18,39.3125,39.34375,39.34375,-0.0,12
8,anchored,14,42.40625,42.375,42.375,0.0,12
8,anchored,15,42.40625,42.375,42.375,0.0,12
8,anchored,16,42.40625,42.375,42.375,0.0,12
8,anchored,17,42.40625,42.375,42.375,0.0,12
8,anchored,18,42.40625,42.375,42.375,0.0,12
8,plain,14,41.46875,41.5,41.5,-0.0,12
8,plain,15,41.46875,41.5,41.5,-0.0,12
8,plain,16,41.46875,41.5,41.5,-0.0,12
8,plain,17,41.46875,41.5,41.5,-0.0,12
8,plain,18,41.46875,41.5,41.5,-0.0,12
9,anchored,14,41.1875,41.125,41.125,0.0,12
9,anchored,15,41.1875,41.125,41.125,0.0,12
9,anchored,16,41.1875,41.125,41.125,0.0,12
9,anchored,17,41.1875,41.125,41.125,0.0,12
9,anchored,18,41.1875,41.125,41.125,0.0,12
9,plain,14,41.90625,41.84375,41.84375,0.0,12
9,plain,15,41.90625,41.84375,41.84375,0.0,12
9,plain,16,41.90625,41.84375,41.84375,0.0,12
9,plain,17,41.90625,41.84375,41.84375,0.0,12
9,plain,18,41.90625,41.84375,41.84375,0.0,12
10,anchored,14,41.75,41.75,41.75,0.0,12
10,anchored,15,41.75,41.75,41.75,0.0,12
10,anchored,16,41.75,41.75,41.75,0.0,12
10,anchored,17,41.75,41.75,41.75,0.0,12
10,anchored,18,41.75,41.75,41.75,0.0,12
10,plain,14,40.75,40.78125,40.78125,-0.0,12
10,plain,15,40.75,40.78125,40.78125,-0.0,12
10,plain,16,40.75,40.78125,40.78125,-0.0,12
10,plain,17,40.75,40.78125,40.78125,-0.0,12
10,plain,18,40.75,40.78125,40.78125,-0.0,12
11,anchored,14,41.4375,41.28125,41.28125,0.0,12
11,anchored,15,41.4375,41.28125,41.28125,0.0,12
11,anchored,16,41.4375,41.28125,41.28125,0.0,12
11,anchored,17,41.4375,41.28125,41.28125,0.0,12
11,anchored,18,41.4375,41.28125,41.28125,0.0,12
11,plain,14,41.96875,42.09375,42.09375,-0.0,12
11,plain,15,41.96875,42.09375,42.09375,-0.0,12
11,plain,16,41.96875,42.09375,42.09375,-0.0,12
11,plain,17,41.96875,42.09375,42.09375,-0.0,12
11,plain,18,41.96875,42.09375,42.09375,-0.0,12
12,anchored,14,42.96875,42.8125,42.8125,0.0,12
12,anchored,15,42.96875,42.8125,42.8125,0.0,12
12,anchored,16,42.96875,42.8125,42.8125,0.0,12
12,anchored,17,42.96875,42.8125,42.8125,0.0,12
12,anchored,18,42.96875,42.8125,42.8125,0.0,12
12,plain,14,42.15625,42.15625,42.15625,0.0,12
12,plain,15,42.15625,42.15625,42.15625,0.0,12
12,plain,16,42.15625,42.15625,42.15625,0.0,12
12,plain,17,42.15625,42.15625,42.15625,0.0,12
12,plain,18,42.15625,42.15625,42.15625,0.0,12
13,anchored,14,41.0,41.0625,41.0625,-0.0,12
13,anchored,15,41.0,41.0625,41.0625,-0.0,12
13,anchored,16,41.0,41.0625,41.0625,-0.0,12
13,anchored,17,41.0,41.0625,41.0625,-0.0,12
13,anchored,18,41.0,41.0625,41.0625,-0.0,12
13,plain,14,40.40625,40.46875,40.46875,-0.0,12
13,plain,15,40.40625,40.46875,40.46875,-0.0,12
13,plain,16,40.40625,40.46875,40.46875,-0.0,12
13,plain,17,40.40625,40.46875,40.46875,-0.0,12
13,plain,18,40.40625,40.46875,40.46875,-0.0,12
14,anchored,14,41.9375,41.875,41.875,0.0,12
14,anchored,15,41.9375,41.875,41.875,0.0,12
14,anchored,16,41.9375,41.875,41.875,0.0,12
14,anchored,17,41.9375,41.875,41.875,0.0,12
14,anchored,18,41.9375,41.875,41.875,0.0,12
14,plain,14,41.9375,41.9375,41.9375,0.0,12
14,plain,15,41.9375,41.9375,41.9375,0.0,12
14,plain,16,41.9375,41.9375,41.9375,0.0,12
14,plain,17,41.9375,41.9375,41.9375,0.0,12
14,plain,18,41.9375,41.9375,41.9375,0.0,12
15,anchored,14,41.15625,41.09375,41.09375,0.0,12
15,anchored,15,41.15625,41.09375,41.09375,0.0,12
15,anchored,16,41.15625,41.09375,41.09375,0.0,12
15,anchored,17,41.15625,41.09375,41.09375,0.0,12
15,anchored,18,41.15625,41.09375,41.09375,0.0,12
15,plain,14,41.5,41.5625,41.5625,-0.0,12
15,plain,15,41.5,41.5625,41.5625,-0.0,12
15,plain,16,41.5,41.5625,41.5625,-0.0,12
15,plain,17,41.5,41.5625,41.5625,-0.0,12
15,plain,18,41.5,41.5625,41.5625,-0.0,12
16,anchored,14,41.8125,41.625,41.65625,0.16666665777777825,12
16,anchored,15,41.8125,41.625,41.625,0.0,12
16,anchored,16,41.8125,41.625,41.65625,0.16666665777777825,12
16,anchored,17,41.8125,41.625,41.65625,0.16666665777777825,12
16,anchored,18,41.8125,41.625,41.625,0.0,12
16,plain,14,42.0625,42.375,42.375,-0.0,12
16,plain,15,42.0625,42.375,42.375,-0.0,12
16,plain,16,42.0625,42.375,42.375,-0.0,12
16,plain,17,42.0625,42.375,42.375,-0.0,12
16,plain,18,42.0625,42.375,42.375,-0.0,12
17,anchored,14,42.875,42.875,42.875,0.0,12
17,anchored,15,42.875,42.875,42.875,0.0,12
17,anchored,16,42.875,42.875,42.875,0.0,12
17,anchored,17,42.875,42.875,42.875,0.0,12
17,anchored,18,42.875,42.875,42.875,0.0,12
17,plain,14,42.375,42.53125,42.53125,-0.0,12
17,plain,15,42.375,42.53125,42.53125,-0.0,12
17,plain,16,42.375,42.53125,42.53125,-0.0,12
17,plain,17,42.375,42.53125,42.53125,-0.0,12
17,plain,18,42.375,42.53125,42.53125,-0.0,12
18,anchored,14,42.96875,43.125,43.125,-0.0,12
18,anchored,15,42.96875,43.125,43.125,-0.0,12
18,anchored,16,42.96875,43.125,43.125,-0.0,12
18,anchored,17,42.96875,43.125,43.125,-0.0,12
18,anchored,18,42.96875,43.125,43.15625,-0.20000001280000082,12
18,plain,14,42.625,42.5625,42.59375,0.49999992000001287,12
18,plain,15,42.625,42.5625,42.59375,0.49999992000001287,12
18,plain,16,42.625,42.5625,42.59375,0.49999992000001287,12
18,plain,17,42.625,42.5625,42.59375,0.49999992000001287,12
18,plain,18,42.625,42.5625,42.59375,0.49999992000001287,12
19,anchored,14,43.34375,43.375,43.375,-0.0,12
19,anchored,15,43.34375,43.375,43.375,-0.0,12
19,anchored,16,43.34375,43.375,43.375,-0.0,12
19,anchored,17,43.34375,43.375,43.375,-0.0,12
19,anchored,18,43.34375,43.375,43.375,-0.0,12
19,plain,14,42.78125,42.96875,42.96875,-0.0,12
19,plain,15,42.78125,42.96875,42.96875,-0.0,12
19,plain,16,42.78125,42.96875,42.96875,-0.0,12
19,plain,17,42.78125,42.96875,42.96875,-0.0,12
19,plain,18,42.78125,42.96875,42.96875,-0.0,12
20,anchored,14,41.59375,41.5,41.5,0.0,12
20,anchored,15,41.59375,41.5,41.5,0.0,12
20,anchored,16,41.59375,41.5,41.5,0.0,12
20,anchored,17,41.59375,41.5,41.5,0.0,12
20,anchored,18,41.59375,41.5,41.5,0.0,12
20,plain,14,43.9375,43.9375,43.9375,0.0,12
20,plain,15,43.9375,43.9375,43.9375,0.0,12
20,plain,16,43.9375,43.9375,43.9375,0.0,12
20,plain,17,43.9375,43.9375,43.9375,0.0,12
