mode,layer,head,clean_prefix_attn_head,corrupt_prefix_attn_head,delta_prefix_attn_head
plain,16,18.0,0.7898193359375,0.77818603515625,0.01163330078125
plain,14,19.0,0.667840576171875,0.656573486328125,0.01126708984375
plain,16,5.0,0.58084716796875,0.5721099853515625,0.0087371826171875
plain,17,29.0,0.5520843505859375,0.544036865234375,0.0080474853515625
plain,17,22.0,0.623675537109375,0.61666259765625,0.007012939453125
plain,16,10.0,0.6321044921875,0.62559814453125,0.00650634765625
plain,14,4.0,0.68228759765625,0.676263427734375,0.006024169921875
plain,14,21.0,0.62532958984375,0.619647216796875,0.005682373046875
plain,17,10.0,0.696099853515625,0.69100341796875,0.005096435546875
plain,18,1.0,0.616522216796875,0.611572265625,0.004949951171875
plain,15,2.0,0.4283294677734375,0.4241607666015625,0.004168701171875
plain,15,18.0,0.69442138671875,0.690313720703125,0.004107666015625
