bin,count,avg_confidence,accuracy,yes_rate,variant,use_cot
0,9,0.0882972033786002,0.5555555555555556,0.4444444444444444,plain,True
1,84,0.15437641674552724,0.5357142857142857,0.40476190476190477,plain,True
2,80,0.24044856211160845,0.45,0.45,plain,True
3,22,0.3435648431333785,0.5454545454545454,0.5454545454545454,plain,True
4,4,0.441971034390081,0.75,0.75,plain,True
5,1,0.519761657932872,1.0,1.0,plain,True
6,0,,,,plain,True
7,0,,,,plain,True
8,0,,,,plain,True
9,0,,,,plain,True
0,75,0.07884163990583887,0.5466666666666666,0.4533333333333333,anchored,True
1,112,0.13049512449788048,0.5446428571428571,0.42857142857142855,anchored,True
2,10,0.23757544956322044,0.6,0.6,anchored,True
3,3,0.34365795956753886,0.6666666666666666,0.6666666666666666,anchored,True
4,0,,,,anchored,True
5,0,,,,anchored,True
6,0,,,,anchored,True
7,0,,,,anchored,True
8,0,,,,anchored,True
9,0,,,,anchored,True
