threshold,accuracy,variant,use_cot
-2.348179367717394,0.425,plain,True
-2.314501192693272,0.42,plain,True
-2.2900972543721494,0.425,plain,True
-2.2781447916334567,0.42,plain,True
-2.247949364929155,0.425,plain,True
-2.221983691507842,0.42,plain,True
-2.15938283318534,0.415,plain,True
-2.1343222948614686,0.42,plain,True
-2.1186950217825364,0.425,plain,True
-2.100657181875052,0.43,plain,True
-2.061290757752849,0.435,plain,True
-2.0309655656097325,0.44,plain,True
-2.0208572203684767,0.435,plain,True
-2.0089983352104457,0.43,plain,True
-2.0037388140046115,0.425,plain,True
-1.99429075928113,0.43,plain,True
-1.9859233379811665,0.435,plain,True
-1.9804008177550094,0.44,plain,True
-1.9675329120877574,0.435,plain,True
-1.9509199805618653,0.44,plain,True
-1.9276560570518029,0.445,plain,True
-1.92562527689095,0.45,plain,True
-1.9222140769755083,0.45,plain,True
-1.9127070225508223,0.455,plain,True
-1.898988468686623,0.45,plain,True
-1.8798409101330547,0.455,plain,True
-1.8671153919307109,0.46,plain,True
-1.8642828758733199,0.465,plain,True
-1.863260233563256,0.47,plain,True
-1.8482415469611717,0.475,plain,True
-1.8373055309816722,0.48,plain,True
-1.8205228333204466,0.485,plain,True
-1.809681372393369,0.49,plain,True
-1.7967630594652044,0.485,plain,True
-1.7827839078047734,0.49,plain,True
-1.779010775301685,0.495,plain,True
-1.776150053555458,0.5,plain,True
-1.774635593395409,0.505,plain,True
-1.769973384912974,0.51,plain,True
-1.759152676969409,0.505,plain,True
-1.7542255716169077,0.51,plain,True
-1.7501420698336914,0.515,plain,True
-1.7301285664125385,0.51,plain,True
-1.7207743464308538,0.515,plain,True
-1.7090862270530576,0.52,plain,True
-1.694021241284878,0.52,plain,True
-1.6905501717994869,0.525,plain,True
-1.6880084923214116,0.53,plain,True
-1.6828494571991155,0.525,plain,True
-1.6797101221824986,0.53,plain,True
-1.673730881847049,0.535,plain,True
-1.6601265183071323,0.54,plain,True
-1.6526047285554362,0.535,plain,True
-1.6470318637238985,0.54,plain,True
-1.64050682918075,0.535,plain,True
-1.6339196913169813,0.53,plain,True
-1.6286319675241072,0.525,plain,True
-1.6237213072534762,0.53,plain,True
-1.6177631204464265,0.525,plain,True
