task,layer,mean_grad_norm,std_grad_norm
gsm8k,26,5.731749115511775e-05,1.4472679140453693e-05
gsm8k,27,5.132735168444924e-05,1.3333160495676566e-05
gsm8k,28,4.366930807009339e-05,1.1243248081882484e-05
gsm8k,29,4.030739364679903e-05,1.2421021892805584e-05
gsm8k,30,4.030064883409068e-05,1.4784004633838776e-05
gsm8k,31,5.003365731681697e-05,1.5254770005412865e-05
strategyqa,26,0.0,0.0
strategyqa,27,0.0,0.0
strategyqa,28,0.0,0.0
strategyqa,29,0.0,0.0
strategyqa,30,0.0,0.0
strategyqa,31,0.0,0.0
mmlu,26,0.0,0.0
mmlu,27,0.0,0.0
mmlu,28,0.0,0.0
mmlu,29,0.0,0.0
mmlu,30,0.0,0.0
mmlu,31,0.0,0.0
