layer,task_a,task_b,cosine,dot,conflict,grad_norm_a,grad_norm_b
26,gsm8k,strategyqa,,0.0,False,2.7202868295717053e-05,0.0
26,gsm8k,mmlu,,0.0,False,2.7202868295717053e-05,0.0
26,strategyqa,mmlu,,0.0,False,0.0,0.0
27,gsm8k,strategyqa,,0.0,False,2.4649936676723883e-05,0.0
27,gsm8k,mmlu,,0.0,False,2.4649936676723883e-05,0.0
27,strategyqa,mmlu,,0.0,False,0.0,0.0
28,gsm8k,strategyqa,,0.0,False,2.0694938939413987e-05,0.0
28,gsm8k,mmlu,,0.0,False,2.0694938939413987e-05,0.0
28,strategyqa,mmlu,,0.0,False,0.0,0.0
29,gsm8k,strategyqa,,0.0,False,1.9388269720366225e-05,0.0
29,gsm8k,mmlu,,0.0,False,1.9388269720366225e-05,0.0
29,strategyqa,mmlu,,0.0,False,0.0,0.0
30,gsm8k,strategyqa,,0.0,False,1.997715480683837e-05,0.0
30,gsm8k,mmlu,,0.0,False,1.997715480683837e-05,0.0
30,strategyqa,mmlu,,0.0,False,0.0,0.0
31,gsm8k,strategyqa,,0.0,False,2.390078043390531e-05,0.0
31,gsm8k,mmlu,,0.0,False,2.390078043390531e-05,0.0
31,strategyqa,mmlu,,0.0,False,0.0,0.0
