layer,task_a,task_b,cka,n
0,gsm8k,strategyqa,0.7112293114602319,5
0,gsm8k,mmlu,0.7457894625193063,5
0,strategyqa,mmlu,0.760531944820094,5
1,gsm8k,strategyqa,0.63733422195877,5
1,gsm8k,mmlu,0.6796846377705387,5
1,strategyqa,mmlu,0.8548701311016226,5
2,gsm8k,strategyqa,0.3055293865933127,5
2,gsm8k,mmlu,0.057745409099681504,5
2,strategyqa,mmlu,0.6605756790428925,5
3,gsm8k,strategyqa,0.31753200612827326,5
3,gsm8k,mmlu,0.0788638507007245,5
3,strategyqa,mmlu,0.6622010233341812,5
4,gsm8k,strategyqa,0.1359419424224436,5
4,gsm8k,mmlu,0.0769433236576213,5
4,strategyqa,mmlu,0.7352042966724456,5
5,gsm8k,strategyqa,0.14780745837484455,5
5,gsm8k,mmlu,0.09393745656541695,5
5,strategyqa,mmlu,0.7354910885972501,5
6,gsm8k,strategyqa,0.1731291282774197,5
6,gsm8k,mmlu,0.12113443264506589,5
6,strategyqa,mmlu,0.7373567580344145,5
7,gsm8k,strategyqa,0.0893271970942311,5
7,gsm8k,mmlu,0.20451853917639817,5
7,strategyqa,mmlu,0.7752076666706522,5
8,gsm8k,strategyqa,0.11319688534455628,5
8,gsm8k,mmlu,0.23957589998243387,5
8,strategyqa,mmlu,0.7798629773436633,5
9,gsm8k,strategyqa,0.1456267101059051,5
9,gsm8k,mmlu,0.2734319995962376,5
9,strategyqa,mmlu,0.7807928520140716,5
10,gsm8k,strategyqa,0.17390030798479386,5
10,gsm8k,mmlu,0.3116318389150236,5
10,strategyqa,mmlu,0.778770883283234,5
11,gsm8k,strategyqa,0.20703338044485176,5
11,gsm8k,mmlu,0.3329577488594925,5
11,strategyqa,mmlu,0.7825685231821575,5
12,gsm8k,strategyqa,0.2332368226112219,5
12,gsm8k,mmlu,0.37481661573817265,5
12,strategyqa,mmlu,0.787595070051,5
13,gsm8k,strategyqa,0.267121861812277,5
13,gsm8k,mmlu,0.42740477406970534,5
13,strategyqa,mmlu,0.7807221035006228,5
14,gsm8k,strategyqa,0.2990889849759809,5
14,gsm8k,mmlu,0.48099970763312216,5
14,strategyqa,mmlu,0.7758075357831233,5
15,gsm8k,strategyqa,0.3431352242069527,5
15,gsm8k,mmlu,0.5238518352902906,5
15,strategyqa,mmlu,0.7685057469673526,5
16,gsm8k,strategyqa,0.358043167611928,5
16,gsm8k,mmlu,0.5533069532180747,5
16,strategyqa,mmlu,0.7567275534891676,5
17,gsm8k,strategyqa,0.4119804018677584,5
17,gsm8k,mmlu,0.6310300642136187,5
17,strategyqa,mmlu,0.7369073014496397,5
18,gsm8k,strategyqa,0.45947033218721656,5
18,gsm8k,mmlu,0.6834676002350737,5
18,strategyqa,mmlu,0.7232814841360554,5
19,gsm8k,strategyqa,0.4762636338577051,5
19,gsm8k,mmlu,0.6993454732617541,5
19,strategyqa,mmlu,0.7187488247692361,5
20,gsm8k,strategyqa,0.5166348495233548,5
20,gsm8k,mmlu,0.750017781615468,5
20,strategyqa,mmlu,0.7077797868004807,5
21,gsm8k,strategyqa,0.5892770379282121,5
21,gsm8k,mmlu,0.75277580736711,5
21,strategyqa,mmlu,0.7086634150155228,5
22,gsm8k,strategyqa,0.6493806040669472,5
22,gsm8k,mmlu,0.7647176439845385,5
22,strategyqa,mmlu,0.7013187048145196,5
23,gsm8k,strategyqa,0.695081507214008,5
23,gsm8k,mmlu,0.7649078235227076,5
23,strategyqa,mmlu,0.6868959588768008,5
24,gsm8k,strategyqa,0.7564553312578691,5
24,gsm8k,mmlu,0.7733748161224452,5
24,strategyqa,mmlu,0.6964393491480388,5
25,gsm8k,strategyqa,0.8059026114291523,5
25,gsm8k,mmlu,0.7400121395577831,5
25,strategyqa,mmlu,0.7395506879977383,5
26,gsm8k,strategyqa,0.8501696168128471,5
26,gsm8k,mmlu,0.7322398193182883,5
26,strategyqa,mmlu,0.7507331829720761,5
27,gsm8k,strategyqa,0.8737301630265819,5
27,gsm8k,mmlu,0.7211555898428355,5
27,strategyqa,mmlu,0.7653480274658561,5
28,gsm8k,strategyqa,0.8929744964150337,5
28,gsm8k,mmlu,0.7172124199927462,5
28,strategyqa,mmlu,0.7607881726027586,5
29,gsm8k,strategyqa,0.694109608337904,5
29,gsm8k,mmlu,0.7317976482268874,5
29,strategyqa,mmlu,0.6429037558917704,5
30,gsm8k,strategyqa,0.7568551720682272,5
30,gsm8k,mmlu,0.7402549987699095,5
30,strategyqa,mmlu,0.6950313404161524,5
31,gsm8k,strategyqa,0.9655185635864355,5
31,gsm8k,mmlu,0.8518994105880504,5
31,strategyqa,mmlu,0.8115318093050832,5
